"dota"
{
"DOTA_Accept"	"Elfogad"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Trófeák"
"DOTA_ProfileCard_SlotTab_Items"	"Fegyvertár"
"DOTA_ProfileCard_SlotTab_Heroes"	"Hősök"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Hangulatjelek"
"DOTA_ProfileCard_NoTrophies"	"Nincs elérhető trófea."
"DOTA_ProfileCard_NoItems"	"Nincs elérhető tárgy."
"DOTA_ProfileCard_HeroOnly"	"Csak hős"
"DOTA_ProfileCard_HeroShowWins"	"Győzelmek mutatása"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Győzelem-vereség mutatása"
"DOTA_ProfileCard_ItemSearchPrefix"	"Keresés:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Tárgyak név szerint"
"DOTA_ProfileCard_ItemArmoryLink"	"Teljes fegyvertár megnézése"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Keresés hősnév alapján"
"DOTA_Wins_Singular"	"1 győzelem"
"DOTA_Wins_Plural"	"{d:hero_wins} győzelem"
"DOTA_Losses_Singular"	"1 vereség"
"DOTA_Losses_Plural"	"{d:hero_losses} vereség"
"DOTA_Profile_TotalGames"	"Összes játék"
"DOTA_Profile_Solo_MMR"	"Szóló JáR"
"DOTA_Profile_Team_MMR"	"Csapatos JáR"
"DOTA_Profile_Party_MMR"	"Társasági JáR"
"DOTA_Profile_VictoryCount"	"Győzelmek"
"DOTA_Profile_ProfilePage"	"Profil"
"DOTA_Profile_TrophyPage"	"Trófeák"
"DOTA_Profile_RecentGamesPage"	"Legutóbbi játékok"
"DOTA_Profile_HeroPage"	"Hősök"
"DOTA_Profile_PlayStyle"	"Játékstílus"
"DOTA_Profile_MostRecent"	"Legutóbbi {s:num_style_games} játék"
"DOTA_Profile_RecentActivity"	"Legutóbbi aktivitás"
"DOTA_Profile_Fighting"	"Harcoló"
"DOTA_Profile_Fighting_TooltipTitle"	"Harcoló"
"DOTA_Profile_Fighting_Tooltip"	"Olyan játékosok, akik sok csatában harcolnak ellenséges hősökkel."
"DOTA_Profile_Farming"	"Farmoló"
"DOTA_Profile_Farming_TooltipTitle"	"Farmoló"
"DOTA_Profile_Farming_Tooltip"	"Olyan játékosok, akik teremtmények megölésével farmolnak aranyat."
"DOTA_Profile_Supporting"	"Támogató"
"DOTA_Profile_Supporting_TooltipTitle"	"Támogató"
"DOTA_Profile_Supporting_Tooltip"	"Olyan játékosok, akik gyógyítással, wardokkal és tárgyakkal támogatják csapatukat."
"DOTA_Profile_Pushing"	"Ostromló"
"DOTA_Profile_Pushing_TooltipTitle"	"Ostromló"
"DOTA_Profile_Pushing_Tooltip"	"Olyan játékosok, akik tornyokat ostromolva segítenek a területbiztosításban."
"DOTA_Profile_Versatility"	"Sokoldalú"
"DOTA_Profile_Versatility_TooltipTitle"	"Sokoldalú"
"DOTA_Profile_Versatility_Tooltip"	"Olyan játékosok, akik sokoldalúak és több különböző hőssel játszanak."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Összehasonlítás a saját statisztikáimmal"
"DOTA_Profile_Self"	"Én"
"DOTA_Profile_GPM"	"Átlag GPM"
"DOTA_Profile_XPM"	"Átlag XPM"
"DOTA_Profile_LH"	"Átlag utolsó találat"
"DOTA_Profile_Rampages"	"Tombolás"
"DOTA_Profile_TripleKills"	"Hármas ölés"
"DOTA_Profile_FirstBlood"	"Első vér ölések"
"DOTA_Profile_FirstBled"	"Első áldozat"
"DOTA_Profile_CourierKills"	"Megölt futár"
"DOTA_Profile_Aegises"	"Aegis-lopások"
"DOTA_Profile_CheeseEaten"	"Elfogyasztott Cheese"
"DOTA_Profile_CreepStack"	"Felhalmozott táborok"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Legutóbbi játékok"
"DOTA_RecentGames_TimeStamp"	"Dátum/idő"
"DOTA_RecentGames_HeroSelection"	"Játszott hős"
"DOTA_RecentGames_GameResult"	"Eredmény"
"DOTA_RecentGames_GameLength"	"Időtartam"
"DOTA_RecentGames_Team"	"Csapat"
"DOTA_RecentGames_GameType"	"Típus"
"DOTA_RecentGames_Items"	"Tárgyak"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} - Letöltődik"
"DOTA_RecentGame_Watch"	"Visszajátszás megnézése"
"DOTA_RecentGame_NoReplay"	"Nincs visszajátszás"
"DOTA_RecentGame_Expired"	"A visszajátszás lejárt"
"DOTA_RecentGame_Finding"	"Keresés..."
"DOTA_RecentGame_Download"	"Meccs letöltése"
"DOTA_RecentGame_Pending"	"Visszajátszás függőben"
"DOTA_RecentGame_Unavailable"	"A visszajátszás nem érhető el"
"DOTA_RecentGame_MatchID"	"Meccs azon.: #{s:match_id}"
"DOTA_No_Team_Name"	"--"
"DOTA_TrophyCount"	"{d:trophy_count} trófea"
"DOTA_TrophiesCount"	"{d:trophy_count} trófea"
"DOTA_TrophyCount_Number"	"{d:trophy_count}"
"DOTA_TrophyCount_NoNum"	"Trófea"
"DOTA_TrophiesCount_NoNum"	"Trófea"
"DOTA_Trophies_ViewAll"	"Összes"
"DOTA_TrophyName"	"{s:trophy_name}"
"DOTA_TrophyCategory"	"{s:trophy_category}"
"DOTA_TrophyDescription"	"{s:trophy_description}"
"DOTA_TrophyXP"	"{d:trophy_xp} <span class=\"TrophyPointTextSmall\">TTP</span>"
"DOTA_NextTrophy"	"Következő díj"
"DOTA_NewPlayerQuestion_Title"	"ÜDV A DOTA 2-BEN"
"DOTA_PlayerOriginQuestion_Question"	"Játékélményed javításához oszd meg velünk, mennyire ismered a Dota 2-t és a hasonló játékokat:"
"DOTA_PlayerOriginQuestion_BeginnerButton"	"Kezdő vagyok."
"DOTA_PlayerOriginQuestion_RTSButton"	"Játszottam RTS játékokkal."
"DOTA_PlayerOriginQuestion_MOBAButton"	"Játszottam a Dota 2-höz hasonló játékkal."
"DOTA_PlayerOriginQuestion_Dota2Button"	"Játszottam már a Dota 2-vel."
"DOTA_PlayerOriginQuestion_MOBAExplanation"	"Válaszd ki az általad legjobban ismert játékot:"
"DOTA_OtherGames_LOL"	"League of Legends"
"DOTA_OtherGames_DOTA"	"DotA 1"
"DOTA_OtherGames_HON"	"Heroes of Newerth"
"DOTA_OtherGames_Smite"	"Smite"
"DOTA_OtherGames_Other"	"Másik játék"
"DOTA_PlayerOriginQuestion_ConfirmationButton"	"JÁTSSZUNK"
"DOTA_PlayerOriginQuestion_ConfirmationTutorial"	"Új Dota játékosként érdekelhet a Játék fül Gyakorlás menüpontja alatt található gyakorlás. Remek kiindulópont ahhoz, hogy más játékosok fölé kerekedj."
"DOTA_PlayerOriginQuestion_ConfirmationSettings"	"Billentyűzetkiosztásod és beállításaid mostantól a te tapasztalati szinteddel rendelkező játékosok által leggyakrabban használtra vannak állítva. Ezeket bármikor testre szabhatod a beállítások ikonra kattintva."
"DOTA_Tutorial_SkipButton"	"Gyakorlás átugrása"
"DOTA_ConfirmSkip"	"Átugrod a Dota 2 bevezetőjét?"
"DOTA_ConfirmSkipDesc"	"Biztosan át szeretnéd ugrani a Dota 2 gyakorló játékait?"
"DOTA_Tutorial_Start_Quest"	"KÜLDETÉS INDÍTÁSA"
"DOTA_Tutorial_Quest0_Title"	"1. KÜLDETÉS"
"DOTA_Tutorial_Quest0_TitleDesc"	"TÁVOLSÁGI HŐS"
"DOTA_Tutorial_Quest0DetailsDesc"	"Ezen küldetés befejezése\n körülbelül 10 percet vesz igénybe."
"DOTA_Tutorial_QuestDetailsLearn"	"Ezekről tanulhatsz:"
"DOTA_Tutorial_Quest0DetailsLesson"	"Hősmozgás\nHősfejlesztés\nKépességhasználat\nTárgyak\nHarcalapok\nUtolsó találatok"
"DOTA_Tutorial_Quest1_Title"	"2. KÜLDETÉS"
"DOTA_Tutorial_Quest1_TitleDesc"	"VONALI HARC"
"DOTA_Tutorial_Quest1DetailsDesc"	"Ezen küldetés befejezése\n körülbelül 10 percet vesz igénybe."
"DOTA_Tutorial_Quest1DetailsLesson"	"Távolsági harc\nTerületi képességek\nMinitérkép\nTornyok\nFutárok és a talon\nTeleportálás"
"DOTA_Tutorial_Quest2_Title"	"3. KÜLDETÉS"
"DOTA_Tutorial_Quest2_TitleDesc"	"VONALI HARC"
"DOTA_Tutorial_Quest2DetailsDesc"	"E küldetés teljesítése körülbelül\n 10 - 15 percet vesz igénybe."
"DOTA_Tutorial_Quest2DetailsLesson"	"Vonali harc \n Tornyok védelme és támadása \n Induló tárgyak"
"DOTA_Challenges_Title"	"Tanulás"
"DOTA_ChallengeGroup_0_Title"	"Mechanikák"
"DOTA_ChallengeGroup_1_Title"	"Irányított bot-meccsek"
"DOTA_ChallengeGroup_1_Desc"	"Kezdd ezzel!"
"DOTA_ChallengeGroup_2_Title"	"Bot-meccsek"
"DOTA_ChallengeGroup_More"	"Továbbiak várhatók"
"DOTA_ChallengeGroup_Locked"	"Zárolt"
"DOTA_LearnMechanics_Title"	"Mechanizmusok"
"DOTA_LearnMechanics_SubTitle"	"Tanuld meg a Dota alapjait, a hősöd irányításától a bolt használatáig, és másokig. Ha még sosem játszottál a Dotához hasonló játékkal, kezdd itt."
"DOTA_Mechanics_0_Title"	"Mechanizmusok 1"
"DOTA_Mechanics_0_Desc"	"Hősmozgás\nHősfejlesztés\nKépességhasználat\nTárgyak\nAlap harc\nUtolsó találatok"
"DOTA_Mechanics_1_Title"	"Mechanizmusok 2"
"DOTA_Mechanics_1_Desc"	"Távolsági harc\nTerületi képességek\nMinitérkép\nTornyok\nFutárok és talon\nTeleportation Scroll-ok"
"DOTA_LearnGuidedBotMatches_Title"	"Irányított bot-meccsek"
"DOTA_LearnGuidedBotMatches_SubTitle"	"Csatlakozz, és harcolj MI-vezérelt hősök ellen, ahogy megtanulsz játszani a Dotával. Lépésről lépésre végigvezetünk egy teljes meccs minden szakaszán, ahogy hősödet megállíthatatlan erővé fejleszted."
"DOTA_GuidedBotMatches_0_Title"	"Luna"
"DOTA_GuidedBotMatches_0_Desc"	"Kis hatótávú támadás\nNagy támadássebzés\nGyors mozgás\nMérsékelten sérülékeny\nAz Ügyességi tulajdonságot használja"
"DOTA_GuidedBotMatches_1_Title"	"Sven"
"DOTA_GuidedBotMatches_1_Desc"	"Közelharci támadás\nGyors támadási sebzés\nNagy állóképesség\nLassításokra érzékeny\nAz Erő tulajdonságot használja"
"DOTA_GuidedBotMatches_2_Title"	"Lina"
"DOTA_GuidedBotMatches_2_Desc"	"Nagy hatótávú támadás\nMagas képességsebzés\nRövid újratöltődések\nNagyon sérülékeny\nAz Intelligencia tulajdonságot használja"
"DOTA_LearnBotMatches_Title"	"Bot-meccsek"
"DOTA_LearnBotMatches_SubTitle"	"Gyakorolj MI irányította hősökkel és azok ellen egy stresszmentes gyakorlókörnyezetben."
"DOTA_BotMatches_0_Title"	"Könnyű botok"
"DOTA_BotMatches_0_Desc"	"Tanulj meg egy új hőst."
"DOTA_BotMatches_1_Title"	"Közepes botok"
"DOTA_BotMatches_1_Desc"	"Érezz rá."
"DOTA_BotMatches_2_Title"	"Nehéz botok"
"DOTA_BotMatches_2_Desc"	"Teszteld magad."
"DOTA_BotMatches_3_Title"	"Őrült botok"
"DOTA_BotMatches_3_Desc"	"Kínozd magad."
"FileOpenDialog_Open"	"Megnyitás"
"FileOpenDialog_Save"	"Mentés"
"FileOpenDialog_Select"	"Kiválaszt"
"FileOpenDialog_FileType_Folder"	"Mappa"
"DOTA_FindMatch"	"Meccs keresése"
"DOTA_FindingMatch"	"Meccs keresése ( {s:find_match_time} )"
"DOTA_FindMatchTime"	"{s:find_match_time}"
"DOTA_Searching"	"Keresés"
"DOTA_StartSoloBotMatch"	"Bot-meccs indítása"
"DOTA_Create_Lobby"	"Váró létrehozása"
"DOTA_Join_Lobby"	"Belépés a váróba"
"DOTA_LobbyStartGame"	"Játék indítása"
"DOTA_ReturnToLobby"	"Vissza a váróba"
"DOTA_FindMatchStatus"	"{s:searching_matchtype} / {s:searching_gamemodes} / {s:searching_region}"
"DOTA_FindGameModesMany"	"Játékmódok: "
"DOTA_FindRegionsMany"	"Régiók: "
"DOTA_GameMode_AllPick"	"All Pick"
"DOTA_GameMode_SingleDraft"	"Single Draft"
"DOTA_GameMode_CaptainsMode"	"Captains Mode"
"DOTA_GameMode_RandomDraft"	"Random Draft"
"DOTA_GameMode_AbilityDraft"	"Ability Draft"
"DOTA_GameMode_LeastPlayed"	"Least Played"
"DOTA_GameMode_AllRandom"	"All Random"
"DOTA_GameMode_LimitedHeroes"	"Limited Heroes"
"DOTA_GameMode_CaptainsDraft"	"Captains Draft"
"DOTA_GameMode_AllRandomDeathMatch"	"All Random Death Match"
"DOTA_ImmediatePurchase_SendFailed"	"Nem sikerült elküldeni a vásárlási kérelmet. Lehet, hogy a Dota szerverek nem üzemelnek. Vásárlásodat később próbáld újra."
"DOTA_ImmediatePurchase_Timeout"	"A válasz a vásárlási kérelemre nem érkezett meg időben. Próbáld újra később."
"DOTA_ImmediatePurchase_InitFailed"	"Jelenleg nem tudtunk vásárlást kezdeményezni a Perfect Worlddel. Próbáld újra később."
"DOTA_ImmediatePurchase_InsufficientFundsPW"	"Nincs fedezet a Perfect World fiókodon a vásárlás befejezéséhez. Töltsd fel a fiókodat és próbáld újra."
"DOTA_ImmediatePurchase_Success_Title"	"Siker"
"DOTA_ImmediatePurchase_Success_Text"	"Vásárlás sikeresen végrehajtva! Tárgyaid hamarosan megjelennek a Fegyvertárban."
"DOTA_ImmediatePurchase_Cancelled_Title"	"Visszavonva"
"DOTA_ImmediatePurchase_UnbundleTimeout"	"A kibontási kérés válaszára való várakozás túllépte az időkorlátot. Próbáld újra később."
"DOTA_ImmediatePurchase_UnbundleFailure"	"A csomagod kibontása nem sikerült. Próbáld újra később."
"DOTA_ImmediatePurchase_LateCancel"	"A vásárlás előzőleg visszavonásra került. Pénz nem került levonásra."
"DOTA_ConfirmPurchaseTitle"	"Vásárlás megerősítése"
"DOTA_ConfirmPurchaseText"	"Meg szeretnéd vásárolni ezt a tárgyat?"
"DOTA_PurchaseInProgress_Title"	"Vásárlás folyamatban"
"DOTA_PurchaseInProgress_Text"	"A vásárlási kérelmed feldolgozás alatt áll."
"DOTA_UnbundleInProgress_Title"	"Kibontás folyamatban"
"DOTA_UnbundleInProgress_Text"	"Csomagod éppen kibontásra kerül."
"DOTA_ConfirmUnbundleTitle"	"Kibontás megerősítése"
"DOTA_ConfirmUnbundleText"	"Ki kell bontanod ezt a csomagot, hogy viseld a benne lévő tárgyakat. Folytatod?"
"DOTA_RequestingBalance_Title"	"Egyenleg lekérdezése"
"DOTA_RequestingBalance_Text"	"Perfect World számlaegyenleged lekérése..."
"DOTA_PartnerPurchaseRecharge_Title"	"Egyenlegfeltöltés"
"DOTA_PartnerPurchaseRecharge_Text"	"Váltás számlaegyenleged feltöltéséhez..."
"DOTA_PartnerPurchase_Purchase"	"{g:dota_item_price:item_def}"
"DOTA_PartnerPurchase_Recharge"	"Fiók feltöltése"
"DOTA_PartnerPurchase_Balance"	"Egyenleg: {m:balance}"
"DOTA_PartnerRecharge_Close"	"Vissza a vásárláshoz"
"RequestBalanceBadAccount"	"Nem sikerült lekérni a számlaegyenleget: a fiók nem található."
"RequestBalanceAccountNotLinked"	"Nem sikerült lekérni a számlaegyenleget: fiókod nincs hozzárendelve a Perfect Worldhöz."
"RequestBalanceUnsupportedPartner"	"Nem sikerült lekérni a számlaegyenleget: fiókod nincs hozzárendelve egy ismert partnerhez sem."
"StoreCheckout_Error_Title"	"Hiba"
"StoreCheckout_NoItems"	"A bevásárlókocsid üres!"
"StoreCheckout_TooManyItems"	"Túl sok tárgy van a bevásárlókocsidban!"
"StoreCheckout_Loading"	"Kifizetés folyamatban..."
"StoreCheckout_Unavailable"	"A kassza jelenleg nem elérhető."
"StoreCheckout_Cancelling"	"Visszavonás..."
"StoreCheckout_Fail"	"A játékbeli Áruház jelenleg zárva tart."
"StoreCheckout_InvalidParam"	"Egy programozó elszúrta! A játékirányító érvénytelen paramétert kapott. Próbáld újra a vásárlást."
"StoreCheckout_InternalError"	"Úgy tűnik, hiba történt a tranzakciód elindítása vagy frissítése során. Kérjük, várj egy percet, majd próbáld újra, vagy segítségért vedd fel a kapcsolatot a Támogatással."
"StoreCheckout_ContactSupport"	"Hiba történt a tranzakciód közben. Segítségért lépj kapcsolatba a Támogatással."
"StoreCheckout_NotApproved"	"A játékirányító nem tudta jóváhagyni a Steames tranzakciódat. Kérjük, próbáld újra a vásárlást később."
"StoreCheckout_NotLoggedin"	"A vásárlás befejezéséhez be kell jelentkezned a Steambe."
"StoreCheckout_WrongCurrency"	"A tranzakció pénzneme nem egyezik a pénztárcád pénznemével."
"StoreCheckout_NoAccount"	"A Steam fiókod jelenleg nem elérhető. Kérjük, próbáld újra a vásárlást később."
"StoreCheckout_InsufficientFunds"	"Nincs elég pénzed a vásárláshoz."
"StoreCheckout_TimedOut"	"A tranzakció túllépte az időkorlátot. Kérjük, próbáld újra a vásárlást."
"StoreCheckout_SteamAccountDisabled"	"A Steam fiókod le van tiltva, így nem tudsz vásárolni."
"StoreCheckout_SteamAccountNoPurchase"	"A Steam Pénztárca tranzakciók ezen a fiókon le lettek tiltva."
"StoreCheckout_OldPriceSheet"	"A helyi terméklistád elavult. Új lista lekérése..."
"StoreCheckout_TransactionNotFound"	"A játékirányító nem találta meg a tranzakció azonosítóját. Kérjük, próbáld újra a vásárlást."
"StoreCheckout_TransactionCancelled"	"Tranzakció visszavonva. Pénz nem került levonásra."
"StoreCheckout_TransactionCompleted"	"Tranzakció befejeződött!\\\nÉlvezd a zsákmányod!"
"StoreCheckout_CompleteButUnfinalized"	"Siker nem megerősíthető. Ha sikeres volt, a tárgyaidat később meg fogod kapni."
"StoreCheckout_NotEnoughRoom"	"Nincs elég hely a fegyvertáradban ennyi tárgy megvásárlásához."
"StoreCheckout_ContactSupport_Dialog_Title"	"Figyelem"
"StoreCheckout_ContactSupport_Dialog_Btn"	"Kapcsolat"
"StoreCheckout_LimitedQuantityItemsUnavailable"	"Egy tétel melyet meg kívánsz vásárolni épp nincs raktáron, vagy nem elérhető."
"StoreCheckout_Nexon_InsufficientFunds"	"Nincs elég pénzed a vásárlás végrehajtásához."
"StoreCheckout_Nexon_FundsLocked"	"Nexon pénzzár bekapcsolva."
"npc_dota_hero_abaddon_hype"	"Képes lévén az ellenséges támadásokat öngyógyítássá alakítani, Abaddon szinte bármilyen támadást túl tud élni. Pajzsot helyezve a szövetségesekre, és kétélű spirált engedve szabadjára egy barátra vagy egy ellenségre, mindig készen áll, hogy belovagoljon a csata sűrűjébe."
"npc_dota_hero_alchemist_hype"	"A minden egyes ölés által biztosított extra erőforrást összegyűjtve Alchemist gond nélkül megszerzi ellenségei elpusztításának eszközeit. Rajtaütve ellenségein maró savval és egy sor instabil vegyszerrel, azért harcol, hogy kapzsi kalandjait megszakíthatatlanul véghez vigye."
"npc_dota_hero_ancient_apparition_hype"	"Erős, sebző jégkitörést kilőve a csatatéren át, Ancient Apparition fenyegetést jelent a legyengült ellenségekre, képes lévén szétzúzni őket, bárhol legyenek is. Lassítja ellenfeleit, miközben növeli szövetségesei hatékonyságát a csatában, állandó fenyegetés ellenségeire nézve."
"npc_dota_hero_antimage_hype"	"Ha Anti-Mage lehetőséget kap teljes ereje összegyűjtésére, kevesek tudják megállítani támadásait. Minden találattal manát lopva ellenségeitől, vagy rövid távolságra teleportálva, hogy megmeneküljön egy rajtaütésből, sarokba szorítani őt bármely ellenség számára kihívás."
"npc_dota_hero_axe_hype"	"Axe egyik ellenségét a másik után vágja le. Csapata előtt masírozva csatába vonja ellenségeit, majd fegyvere halálos pörgetésével viszonozza csapásaikat. Aprítópengéjét áthajítva egy meggyengült ellenségen folyamatosan tör előre."
"npc_dota_hero_bane_hype"	"Bane rettegést hoz ellenségeire magatehetetlenné tevő képességeinek arzenáljával. Akár ragályos rémálomban ejti csapdába ellenfelét, akár helyhez szögez egy ellenséget, minden szükséges időt megad szövetségeseinek ellenségeik legyilkolására."
"npc_dota_hero_batrider_hype"	"Miután szárnyra kapott, Batrider bármilyen irányból lecsaphat. Lasszójával elragadva egy ellenséget a fák koronája fölé szárnyal, lángösvényen húzva végig prédáját, mielőtt irgalmatlan szövetségesei elé vonszolja azt."
"npc_dota_hero_beastmaster_hype"	"Méregköpő medvét és felderítő sólymot idézve meg, hogy segítsék vadászatában, Beastmaster sosem felkészületlenül járja a csatamezőt. Fejszéivel utat vágva magának az erdőn át, bénító üvöltése utat nyit szövetségeseinek az ellenség elpusztítására."
"npc_dota_hero_bloodseeker_hype"	"Bloodseeker nehéz döntéseket kényszerít ellenségeire. Képes lévén visszavonulásra kényszeríteni ellenfeleit nagy területet vonva egy károsító szertartás hatása alá, rettentő ultimate-je arra készteti ellenfeleit, hogy maradjanak mozdulatlanok, vagy meghalnak."
"npc_dota_hero_bounty_hunter_hype"	"Láthatatlanul ellenségei sarkába lopózva Bounty Hunter mindig nyomon követi ellenfeleit. Valahányszor valamelyik ellensége elesik a csatában, ő és szövetségesei szép kis hasznot húznak belőle."
"npc_dota_hero_brewmaster_hype"	"A minden helyzetben félelmetes harcos Brewmaster meg tudja fordítani a csata állását három, saját egyedi képességekkel rendelkező elementálszellemre osztódva. Amikor nincs szétosztódva, részeg káoszt hoz ellenségeire lassító csapásokkal és botjának erőteljes lendítéseivel."
"npc_dota_hero_bristleback_hype"	"Amikor harcról van szó, Bristleback igazán nekiveselkedik. Minden hátulról vagy oldalról érkező sebzést csökkentve alig odafigyelve gázol a csatába, sebző tüskékkel és lassító takonnyal szórva meg az ellenséget."
"npc_dota_hero_broodmother_hype"	"Láthatatlanul rejtőzve hálóiban, Broodmother pókhadsereget szül, hogy azok vezessék csapata erőit az ellenség bázisa felé. Amikor a préda közelebb téved, gyermekeihez csatlakozva támad, magatehetetlenné tevő csípésekkel lassítva az ellenfeleket, miközben enyhíti csillapíthatatlan éhségét."
"npc_dota_hero_centaur_hype"	"Centaur Warrunner mesterien okozza és állja is a sebzést. A roham élén indulva a csatába eltaposva elkábítja ellenségeit, és azonnal viszonozza minden támadásukat. Vágtatása harcban és menekülésben is felgyorsítja szövetségeseit, gyorsítva a vérontás tempóját."
"npc_dota_hero_chaos_knight_hype"	"Chaos Knight egyszemélyes hadsereg. Képes másolatokból álló lovasságot megidézve lerombolni az ellenséges védelmet, ha pedig ellenség állna ki ellene, hasadékot nyithat a valóságba, hogy elég közel húzza magát és illúzióit ahhoz, hogy kegyetlen ütlegelést zúdítson fejükre."
