"lang"
{ 
	"Language" "ukrainian" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_introduction_1"		"Намагайтеся битися з ворожими кріпами і героями в радіусі атаки союзної вежі."
		"dota_tip_universal_1"				"Споряджені диктори та стилі інтерфейсу доступні всім учасникам матчу. Вибрати їх можна за допомогою кнопки «Спільний вміст» у таблиці лідерів."
		"dota_tip_universal_2"				"Зберігайте спокій. Пам’ятайте: це лише гра."
		"dota_tip_universal_3"				"Якщо гравець постійно грубіянить, його можна заблокувати в текстовому і голосовому чаті за допомогою кнопки в таблиці з поточними результатами матчу."
		"dota_tip_universal_4"				"Вибравши героя, на міні-мапі в лівому нижньому кутку можна позначити, яку лінію ви збираєтеся зайняти на початку гри."
		"dota_tip_universal_5"				"Сподобалося з кимось грати? Похваліть гравця у післяматчевому огляді, клацнувши на значок вподобання над його ім’ям."
		"dota_tip_universal_6"				"Утримуйте Alt і натисніть значок здібності, щоби повідомити команді про стан її зарядки."
		"dota_tip_universal_7"				"Утримуйте Alt і клацніть на портреті ворога вгорі екрана, щоби повідомити команді, що він зник із лінії."
		"dota_tip_universal_8"				"Завжди будьте чемними, особливо до союзників. Гравці неохоче слухатимуть грубіянів."
		"dota_tip_universal_9"				"Гравці, що покинуть матч до його завершення, будуть покарані."
		"dota_tip_universal_10"				"Закупити варди, пил і дим може будь-хто. Якщо ваша команда чогось потребує, не соромтеся це придбати!"
		"dota_tip_universal_11"				"Будьте ввічливими до новачків. Усі починали з нуля."
		"dota_tip_universal_12"				"Не забудьте побажати всім приємної гри. Зазвичай у чаті пишуть GLHF, що означає «Good luck, Have fun» (Удачі і веселої гри!)."
		"dota_tip_universal_13"				"Важливо правильно обирати героїв: деякі можуть добре протистояти іншим героям, а деякі — краще співпрацюють у парі, ніж поодинці."
		"dota_tip_universal_14"				"Утримуючи Shift, ви віддаватимете накази як послідовну серію дій."
		"dota_tip_universal_15"				"Заявіть про свої вподобання! Відвідайте майстерню Dota 2 і проголосуйте за предмети, які б ви хотіли бачити у Dota 2."
		"dota_tip_universal_16"				"Для загальних предметів можна встановити режим «Ротація»: кожного матчу в цій ланці вибиратиметься довільний косметичний предмет."
		"dota_tip_universal_17"				"Позитивний настрій — це вже половина перемоги."
		"dota_tip_universal_18"				"Кольорові символи для міні-мапи можна замінити значками героїв у параметрах гри."
		"dota_tip_universal_19"				"Не забувайте вставати і розминатися між матчами."
		"dota_tip_universal_20"				"Пам’ятайте: у кожного є погані ігри. Усі роблять помилки."
		"dota_tip_universal_21"				"Міні-мапу можна перенести в інший кут екрана у параметрах гри."
		"dota_tip_universal_22"				"Налаштувати, як часто герої щось промовляють, ви можете в меню налаштувань."
		"dota_tip_universal_23"				"Повтори ваших матчів доступні для завантаження в меню нещодавніх ігор вашого профілю кар’єри. Гарний спосіб покращити свої навички — проаналізувати власну гру з нової точки зору!"
		"dota_tip_universal_24"				"Натисніть на здібність чи предмет, утримуючи Alt, аби сповістити своїх союзників про готовність, час до зарядки або нестачу мани для застосування."
		"dota_tip_universal_25"				"Предмети можна застосувати навіть під дією знемовлення."
		"dota_tip_universal_26"				"Випадково скасували дію портального сувою (Town Portal Scroll)? У меню налаштувань є параметр «Скасування телепортації лише зупинкою»."
		"dota_tip_universal_27"				"Натисніть на предмет в інвентарі ворога, утримуючи Alt, щоби сповістити про нього свою команду."
		"dota_tip_universal_28"				"Натисніть на кнопку викупу чи запасу свого золота, утримуючи Alt, аби сповістити свою команду про стан викупу вашого героя."
		"dota_tip_universal_29"				"Гравці, які не виберуть героя в режимі All Pick до того, як сплине час на таймері, почнуть втрачати своє початкове золото."
		"dota_tip_universal_30"				"Dota 2 постійно розвивається. Додаються нові функції, вводяться нові герої, а наявні герої та механіки можуть змінюватися. Перевіряйте блоґ Dota 2, аби бути в курсі останніх змін!"
		"dota_tip_universal_31"				"П’ятьох ворогів ми вам підберемо, а ви постарайтеся не нажити собі ще кількох."
		"dota_tip_universal_33"				"За потреби в меню параметрів можна ввімкнути режим кольорової сліпоти."
		"dota_tip_universal_34"				"Утримуючи Alt і натиснувши на шкалу здоров’я і мани свого або ворожого героя, ви повідомите своїй команді, скільки здоров’я і мани у нього залишилося."
		"dota_tip_universal_35"				"Натисніть значок накладеного на вас ефекту, утримуючи Alt, щоби повідомити про нього своїй команді. Це працює і на ефектах ворожих героїв."
		"dota_tip_universal_36"				"Щоби повідомити своїй команді про стан зарядки гліфа фортифікації, натисніть його кнопку, утримуючи Alt. Щоби попросити команду не використовувати гліф, натисніть кнопку, утримуючи Ctrl та Alt."
		"dota_tip_universal_37"				"Щоби повідомити своїй команді, коли ви відродитеся, натисніть лічильник відродження, утримуючи Alt."
		"dota_tip_universal_38"				"Використовуйте колесо чату, щоби швидко надсилати підготовлені повідомлення своїй команді. Вибрати та змінити фрази для колеса можна в меню параметрів."
		"dota_tip_universal_39"				"Повідомлення з колеса чату автоматично перекладаються мовою, якою користується гравець."
		"dota_tip_universal_40"				"Клавіші швидкого використання дозволяють застосовувати направлені здібності в місці, де знаходиться вказівник, лише одним натисканням."
		"dota_tip_universal_42"				"У меню параметрів ви можете дозволити стороннім застосункам збирати дані про ваші публічні матчі."
		"dota_tip_universal_43"				"У налаштуваннях гри є параметр, що дозволяє застосовувати здібності на своєму герої, двічі клацнувши його портрет або двічі натиснувши клавішу здібності."
		"dota_tip_universal_44"				"Ніколи не здавайтеся! За вбивство сильнішого від вас ворога ви отримуєте більше золота та досвіду."
		"dota_tip_universal_45"				"Зробити ігрову спільноту дружньою і привітною — задача кожного гравця."
		"dota_tip_universal_46"				"Бажаєте побачити, як грають професіонали? По всьому світу безперервно проводяться турніри з Dota 2. Дивіться і вчіться у найкращих!"
		"dota_tip_universal_47"				"Автоматичну атаку можна вимкнути в параметрах гри."
		"dota_tip_universal_49"			"Зазвичай знищити ворожу вежу або казарми корисніше для команди, ніж вбити ворожого героя."
		"dota_tip_universal_50"			"Зберігайте спокій та ввічливість, таким чином ви більш вмотивовуєте вашу команду."
		"dota_tip_universal_51"			"Спокійні гравці майже завжди приймають кращі рішення."
		"dota_tip_universal_52"			"Завжди плануйте ваш наступний крок."
		"dota_tip_universal_53"			"Навіть поразка — це крок до перемоги."
		"dota_tip_universal_54"			"Користуйтесь режимом демонстрації героя у вкладці «Герої», щоби навчитися грати новими героями, натренувати останні удари, чи підібрати вигляд свого улюбленого героя."
		"dota_tip_universal_55"			"Ви можете бачити діапазон застосування ваших заклинань, активувавши «Дальність до цілі при чаклуванні» в меню налаштувань."
		"dota_tip_universal_56"			"Не бійтесь експериментувати, граючи за нового героя."
		"dota_tip_universal_57"			"Найбільшу насолоду від Dota можна отримати, граючи з друзями."
		"dota_tip_universal_58"			"Ніколи не соромтеся приглушувати грубих гравців."
		"dota_tip_universal_59"			"Намагайтеся не зациклюватися на своїх помилках. Вчіться на них, і рухайтеся далі."
		"dota_tip_universal_60"			"Завжди поглядайте на вашу міні-мапу."
		"dota_tip_universal_61"			"Якщо ви спостерігаєте «заїкання» гри під час використання голосового чату, спробуйте перейти до меню «Налаштування» і включити пункт «Не вимикати пристрій при активації клавішою»."
		"dota_tip_universal_62"			"На початку гри з’являться руни достатку, які будуть відроджуватися кожні три хвилини."
		"dota_tip_universal_63"			"Лісові кріпи дають істотно менше золота і досвіду, ніж кріпи на лінії."
		"dota_tip_universal_64"			"Споруди з активним тиловим захистом позначені синім бар’єром навколо них і значком щита поруч зі смугою здоров’я."
		"dota_tip_universal_65"			"Вежі, Древній, фонтан та захоплені застави надають істинний зір, виявляючи поблизу невидимі об’єкти. Казарми не надають істинний зір."
		"dota_tip_universal_66"			"Катапульти завдають істотної шкоди вежам і, за можливості, націлюються на ворожі споруди."
		"dota_tip_universal_67"			"Якщо у вас проблеми з якимсь героєм, спробуйте пограти ним. Ви швидко вивчите його слабкі місця."
		"dota_tip_universal_68"			"Усі вежі надають додаткову броню ближнім союзникам: вежі 1-го ступеня надають 3 броні, всі інші — 5 броні."
		"dota_tip_universal_69"			"Заглушення не дає герою використовувати предмети."
		"dota_tip_universal_70"			"Знемовлення не дає герою застосовувати здібності."
		"dota_tip_universal_71"			"Переривання не дає спрацювати пасивним здібностям героя."
		"dota_tip_universal_73"			"Дію зцілювальних бальзамів (Healing Salve) і зілля просвітлення (Clarity) можуть перервати лише герої та Рошан."
		"dota_tip_universal_74"			"Утримуйте Alt і клацніть лівою кнопкою миші по мапі, щоби передати союзникам контекстне повідомлення."
		"dota_tip_universal_76"			"Нейтральні предмети частіше випадають із древніх кріпів."
		"dota_tip_universal_77"			"Маєте непотрібний нейтральний предмет? Клацніть на ньому правою кнопкою миші для його телепортації до сховку нейтральних предметів вашої команди, щоби ним міг скористатися союзник."

//BEGINNER LOADSCREEN TIPS		(25 - 150 games played)
		"dota_tip_beginner_1"					"Якщо з вашої лінії зник ворог, повідомте про це своїй команді, сказавши «На верхній/центральній/нижній лінії нікого». Можливо, так ви врятуєте життя товаришу по команді!"
		"dota_tip_beginner_2"					"Щоби підняти рівень здібності, натисніть призначену їй клавішу, утримуючи Ctrl."
		"dota_tip_beginner_3"					"Купуйте варди, щоб усі могли бачити пересування ворога на мапі."
		"dota_tip_beginner_4"					"Ваш кур’єр може доставляти предмети, тож ви можете лишатися на лінії й отримувати досвід та золото."
		"dota_tip_beginner_5"					"Вартові варди (Sentry Ward) викривають невидимих істот і ворожі варди, які знаходяться поблизу."
		"dota_tip_beginner_7"					"Рошана значно легше здолати, якщо послабити його броню."
		"dota_tip_beginner_10"				"Затисність Shift і клацніть на предметі в крамниці, аби додати його до панелі швидкої купівлі."
		"dota_tip_beginner_11"				"Завдасте останній удар по вежі — отримаєте більше золота за її знищення."
		"dota_tip_beginner_12"				"«Легкою» називається найдовша лінія на половині поля вашої команди. У Пітьми це верхня лінія, у Сяйва — нижня."
		"dota_tip_beginner_13"				"«Складною» називається найкоротша лінія на половині поля вашої команди. У Пітьми це нижня лінія, у Сяйва — верхня."
		"dota_tip_beginner_15"				"Швидкість руху від кількох черевиків не складається. Скільки б ніг не було у вашого героя, йому достатньо однієї пари."
		"dota_tip_beginner_16"				"Виберіть ворожого героя, щоби переглянути його здібності та споряджені предмети."
		"dota_tip_beginner_17"				"Намагайтеся завжди мати при собі портальний сувій (Town Portal Scroll)."
		"dota_tip_beginner_18"				"Серед дерев є багато таємних проходів, у яких можна заховатися від атак ворогів або влаштувати засідку."
		"dota_tip_beginner_19"				"Скористайтеся викривальним пилом (Dust of Appearance), щоби виявити невидимих ворогів поблизу."
		"dota_tip_beginner_20"				"Руни на річці з’являються кожні дві хвилини, починаючи з четвертої хвилини гри. Випадковим чином з’являється одна руна на північ або на південь від центральної лінії."
		"dota_tip_beginner_21"				"Якщо у вас є пляшка, у неї закорковуватимуться руни, де зберігатимуться певний час. Після використання руни у пляшці відновлюється цілюща рідина."
		"dota_tip_beginner_22"				"В меню у верхньому лівому кутку екрана можна вибрати посібник, який допоможе вам розвивати та споряджати свого героя."
		"dota_tip_beginner_25"				"Якомога частіше перевіряйте міні-мапу, щоби вчасно виявляти можливі засідки ворога."
		"dota_tip_beginner_26"				"Найкращий спосіб виявити слабкі сторони героя — зіграти ним."
		"dota_tip_beginner_28"				"На лінії, де знищено ворожі казарми, значно міцнішають союзні кріпи."
		"dota_tip_beginner_29"				"Вежі можуть бачити та атакувати невидимих істот."
		"dota_tip_beginner_31"				"Завжди зважайте на свою позицію під час атаки кріпів, щоби не потрапити в невигідне становище."
		"dota_tip_beginner_33"				"На вершинах пагорбів, які є гарними місцями для встановлення оглядових вардів (Observer Ward), накреслені спеціальні позначки."
		"dota_tip_beginner_36"				"Біля союзного фонтану дуже швидко відновлюється здоров’я та мана."
		"dota_tip_beginner_40"				"Сила збільшує максимальний запас здоров’я. Спритність пришвидшує атаки. Інтелект збільшує максимальний запас мани."
		"dota_tip_beginner_41"				"Таємна крамниця ні для кого не є таємницею."
		"dota_tip_beginner_42"				"Герой-лідер (Carry) розвивається повільно, розкриваючи свій потенціал на пізній стадії гри. Герой підтримки (Support) зазвичай сильний на початку гри і з часом своїми здібностями підвищує ефективність всієї команди."
		"dota_tip_beginner_43"				"Ви завжди отримуватимете досвід за вбивство, якщо будете достатньо близько."
		"dota_tip_beginner_44"				"За допомогою гліфа фортифікації ви можете тимчасово зміцнити свої споруди та кріпів, захищаючи їх від будь-якої шкоди. Не витрачайте його марно, бо гліф заряджається дуже довго."
		"dota_tip_beginner_45"				"За допомогою портального сувою (Town Portal Scroll) ви можете телепортуватися до будь-якої союзної споруди. А Мандрівні черевики (Boots of Travel) перенесуть вас до будь-якої союзної істоти."
		"dota_tip_beginner_47"				"При застосуванні танґо (Tango) сила регенерації здоров’я незмінна — неважливо, наскільки велике дерево ви скуштували."
		"dota_tip_beginner_48"				"Існує безліч сайтів та відео, за допомогою яких ви можете дізнатися про загальну тактику, сполучуваність героїв і стратегії для ваших улюблених героїв."
 		"dota_tip_beginner_49"				"Ви можете віддати одне зі своїх танґо (Tango) союзнику, застосувавши цей предмет на ньому."
		"dota_tip_beginner_50"				"Ви можете використовувати Цілющий бальзам (Healing Salve) та Прозоре зілля (Clarity) на ваших товаришах. Поділіться з ближніми!"
		"dota_tip_beginner_53"				"Оглядові та вартові варди не можна встановлювати всередині лігва Рошана."
		"dota_tip_beginner_54"				"Незабрані руни підсилення замінюються новими кожні дві хвилини."
		"dota_tip_beginner_55"				"Фарм — це ігровий прийом, коли гравець заробляє золото методичним убиванням кріпів."
		"dota_tip_beginner_56"				"З кожною смертю герой втрачає ненадійне золото й віддає його та очки досвіду своєму вбивці. Намагайтеся не вмирати та вбивайте ворожих героїв якомога більше!"
		"dota_tip_beginner_57"				"У кожному з лісів є місце розташування руни достатку. Ці руни з’являються на початку гри та кожні 3 хвилини."


//INTERMEDIATE LOADSCREEN TIPS		(75+ games played)
		"dota_tip_intermediate_1"			"Вежі 2-го ступеня та вище мають мультиатаку, коли активується гліф. Вони атакуватимуть до чотирьох додаткових цілей, надаючи перевагу найближчим істотам."
		"dota_tip_intermediate_2"			"Предмети у вашому сховку чи у ранці перезаряджаються вдвічі довше, ніж в інвентарі."
		"dota_tip_intermediate_3"			"Після смерті Рошан відроджується через 8—11 хвилин (час визначається випадково)."
		"dota_tip_intermediate_4"			"Нейтральні кріпи з’являються через хвилину після початку матчу, а потім щохвилини відроджуються."
		"dota_tip_intermediate_6"			"Від деяких заклинань можна ухилитися, якщо скористатися Стрибковим кинджалом (Blink Dagger) або стати невидимим."
		"dota_tip_intermediate_8"			"Атака з височини дає перевагу над супротивником, оскільки він може схибити або загубити вас у тумані війни."
		"dota_tip_intermediate_9"			"Використання Люльки прозріння (Pipe of Insight) зменшує магічну шкоду від ворожих героїв."
		"dota_tip_intermediate_10"			"Штурмова кіраса (Assault Cuirass) посилює броню і швидкість атаки союзників навколо."
		"dota_tip_intermediate_11"			"Коли у вас стріляє вежа, атакуйте союзного кріпа, щоби вона змінила ціль."
		"dota_tip_intermediate_12"			"Якщо розмістити вард або істоту біля табору нейтральних кріпів, то вони не зможуть відроджуватися щохвилини."
		"dota_tip_intermediate_13"			"Посох Мавпячого Короля (Monkey King Bar) дасть вам влучність, яка часто не дозволятиме ворожим героям ухилятися від атак, навіть якщо вони атакують із височини."
		"dota_tip_intermediate_14"			"Якщо двічі натиснути Стрибковий кинджал (Blink Dagger), то герой автоматично стрибне в сторону союзного фонтану."
		"dota_tip_intermediate_15"			"Добивайте союзних кріпів із малою кількістю здоров’я, щоби ворог не зміг отримати золото за останній удар."
		"dota_tip_intermediate_16"			"Щоби зменшити отримувану магічну шкоду, купуйте предмети, які дають опір магічній шкоді."
		"dota_tip_intermediate_17"			"Предмети, що посилюють броню, допоможуть знизити отримувану фізичну шкоду."
		"dota_tip_intermediate_18"			"Абсолютна шкода не зменшується бронею чи опором магічній шкоді."
		"dota_tip_intermediate_20"			"При зміні основної характеристики в Черевиків наснаги (Power Treads) герой виходить із невидимості, а також переривається чаклування заклинань, зокрема застосування портального сувою (Town Portal Scroll)."
		"dota_tip_intermediate_21"			"Якщо вивести нейтральних кріпів із табору наприкінці хвилини, то на їхньому місці з’являться нові істоти. Цей прийом дозволяє значно збільшити кількість кріпів у лісі."
		"dota_tip_intermediate_22"			"Утримуючи Ctrl, пляшкою можна відновити здоров’я та ману союзного героя. Втім, закоркованими рунами поділитися не можна."
		"dota_tip_intermediate_23"			"Ворог не випускає з бази? Ви все одно можете купувати речі в таємній крамниці, посилаючи туди кур’єра. Але пильнуйте, щоби він не натрапив на вороже військо!"
		"dota_tip_intermediate_24"			"Коли поруч нема ворожих кріпів, у веж і казарм діє тиловий захист, який зменшує отримувану ними шкоду і відновлює їхнє здоров’я."
		"dota_tip_intermediate_25"			"Нищівна сокира (Quelling Blade) завдає додаткову шкоду лише ворожим та нейтральним кріпам."
		"dota_tip_intermediate_26"			"Значення блокованої шкоди Авангарду (Vanguard) або Багряного стража (Crimson Guard) залежать від типу атаки власника, а не того, хто його атакує."
		"dota_tip_intermediate_27"			"Даґон (Dagon) і Мандрівні черевики (Boots of Travel) можна покращити, якщо повторно придбати їхні рецепти."
		"dota_tip_intermediate_28"			"Ви можете передати союзнику один вард, утримуючи Ctrl та клацнувши спершу на вард у вашому інвентарі, а потім на союзникові."
		"dota_tip_intermediate_29"			"За допомогою Стрибкового кинджала (Blink Dagger) і Посоху примусу (Force Staff) можна застрибувати на недоступні височини та спускатися з них."
		"dota_tip_intermediate_30"			"Використовуйте Нищівну сокиру (Quelling Blade) або Бойову лють (Battle Fury), щоби зрубувати дерева і прокласти шлях через ліс."
		"dota_tip_intermediate_31"			"Лише ворожі герої та вежі переривають дію Диму омани (Smoke of Deceit), а ілюзії та кріпи — ні."
		"dota_tip_intermediate_33"			"Якщо утримувати Alt, в описах деяких здібностей і предметів відобразяться корисні примітки."
		"dota_tip_intermediate_34"			"Казарми не викривають невидимих істот або варди."
		"dota_tip_intermediate_35"			"Викуп доступний раз на 8 хвилин."
		"dota_tip_intermediate_36"			"У кожного героя є головна характеристика — сила, спритність або інтелект. Кожна додана до головної характеристики одиниця збільшує шкоду від атак героя на 1."
		"dota_tip_intermediate_37"			"При третій та подальших загибелях Рошана з нього випадатиме не тільки Еґіда Безсмертя, але й сир. Вживання сиру миттєво поновлює 2500 здоров’я та 1500 мани героя."
		"dota_tip_intermediate_38"			"Ілюзії героя завдають значно менше шкоди Рошану."
		"dota_tip_intermediate_39"			"Не забувайте перевіряти наявність предмета з аурою в інвентарях інших гравців перед тим, як його придбати. Ваш напарник вже може мати такий предмет, а ефекти від більшості аур не поєднуються."
		"dota_tip_intermediate_41"			"Тривалість приголомшення від різних здібностей не складається. Ви можете тримати суперника приголомшеним довше, якщо вдало розрахуєте час для використання своїх здібностей."
		"dota_tip_intermediate_42"			"Застосування портального сувою (Town Portal Scroll) і Мандрівних черевиків (Boots of Travel) не переривається знемовленням або відкиданням."
		"dota_tip_intermediate_43"			"Чим ближче вежа до Древнього, тим більше золота принесе її руйнування."
		"dota_tip_intermediate_45"			"Після застосування Персня душ (Soul Ring) ви отримаєте додаткову ману, навіть якщо її запас повний."
		"dota_tip_intermediate_46"			"Коли здоров’я вашої вежі падає нижче 10%, ви можете її добити. Добивання вежі розділить нагороду за це порівну між обома командами."
		"dota_tip_intermediate_49"			"Фізичну шкоду від атак, деяких здібностей і предметів можна зменшити бронею або повністю заблокувати, прийнявши ефірну безтілесну форму."
		"dota_tip_intermediate_50"			"Магічну шкоду від більшості здібностей і предметів можна зменшити опором до магічної шкоди або повністю заблокувати імунітетом до чарів."
		"dota_tip_intermediate_51"			"Задіяння Різака Манти (Manta Style) пересуне вас із початкової позиції при появі проекцій. Скористуйтеся цим, аби заплутати ворогів!"
		"dota_tip_intermediate_53"			"З розумом користуйтеся щитом кур’єра, оскільки він довго заряджається."
		"dota_tip_intermediate_54"			"Атакуючи з низини, герої та кріпи дальнього бою мають псевдовипадковий шанс схибити."
		"dota_tip_intermediate_55"			"Щохвилини Рошан стає сильнішим: збільшується його здоров’я, шкода та броня."
		"dota_tip_intermediate_56"			"Руни достатку дають золото усій команді, незалежно від того, хто її підняв."
		"dota_tip_intermediate_57"			"Не всі здібності можна заблокувати імунітетом до чарів. Дізнатися, чи пробиває здібність імунітет, можна в її описі."
		"dota_tip_intermediate_58"			"Інколи варто залишити золото на викуп. Своєчасний викуп може перетворити відчайдушний захист на блискавичну контратаку."
		"dota_tip_intermediate_59"			"Ілюзії завдають ворожим спорудам на 60% менше шкоди."
		"dota_tip_intermediate_60"			"Фарм у лісі може бути небезпечним! Ви можете придбати та розмістити декілька вардів, щоб уникнути засідки на вас."
		"dota_tip_intermediate_61"			"Кожен герой досягає своєї максимальної сили в різний час гри."
		"dota_tip_intermediate_62"			"Якщо всі ворожі герої зникли з міні-мапи, то, можливо, вони б’ються з Рошаном чи влаштовують засідку."
		"dota_tip_intermediate_63"			"Пробуйте розміщувати варди біля цілі, яку ваша команда хоче атакувати."
		"dota_tip_intermediate_64"			"Якщо ви навчитеся грати за героїв підтримки, то це зробить вас кращим лідером. Якщо ви навчитеся грати за лідерів, то це зробить вас кращим гравцем підтримки."
		"dota_tip_intermediate_65"			"Сканування викриє ворожих героїв у визначеному місці на короткий проміжок часу."
		"dota_tip_intermediate_66"			"Ви можете дати манго (Enchanted Mango) своєму союзнику, клацнувши мишкою з натиснутою кнопкою CTRL на манго, а потім на союзника."
	 	"dota_tip_intermediate_67"			"Коли Божественна рапіра (Divine Rapier) випадає, союзники не можуть її використовувати після підняття (але можуть повернути власнику). Якщо випадає вдруге, то далі її може використовувати кожен."
		"dota_tip_intermediate_69"			"Точність від Посоху Мавпячого Короля (Monkey King Bar) не діє під час атак на ворожі споруди."
		"dota_tip_intermediate_70"			"Більшість заклинань мають коротку анімацію чаклування, перш ніж відбувається ефект. Усі предмети застосовують свої ефекти миттєво, без часу чаклування."
		"dota_tip_intermediate_71"			"Чаклування портального сувою (Town Portal Scroll) займе більше часу, якщо нещодавно інший герой телепортувався на те саме місце."
		"dota_tip_intermediate_72"			"Чи має ваша команда Медальйон відваги (Medallion of Courage), Урну тіней (Urn of Shadows) або Пожертву Влада (Vladmir’s Offering)? Придбання корисних для всієї команди предметів може бути ефективнішим за предмети, що надають одноосібні переваги."
		"dota_tip_intermediate_73"			"Танґо (Tango) вдвічі ефективніші, якщо за допомогою них з’їсти дерево від Залізної гілочки (Iron Branch)."
		"dota_tip_intermediate_74"			"Мандрівні черевики (Boots of Travel) скасовуються, якщо ціль телепортації помирає під час чаклування."
		"dota_tip_intermediate_75"			"Скиртування табору нейтральних кріпів дасть вам відсоток золота за їхнє вбивство."
		"dota_tip_intermediate_76"			"Після третього вбивства Рошана за матч він впустить есенцію Aghanim's Scepter або ж Refresher Shard. Четвертий Рошан — впустить обидва. Ви можете вибрати Рошана, щоби поглянути його інвентар та дізнатися, які саме предмети впадуть."
		"dota_tip_intermediate_77"			"Отримання уламку Аґаніма для вашого героя поліпшить наявну здібність або додасть нову."
		"dota_tip_intermediate_78"			"Уламок Аґаніма не можна придбати раніше 15-ї хвилини."

//ADVANCED LOADSCREEN TIPS		(150+ games played)
		"dota_tip_advanced_1"				"Надійне золото заробляється з пасивного прибутку золота та активації рун достатку. Усе інше є ненадійним золотом і може бути втрачене в разі смерті героя."
		"dota_tip_advanced_2"				"Нейтральних кріпів, що стоять у найближчому до легкої лінії таборі, можна виводити на лінію та зіштовхувати із союзними кріпами."
		"dota_tip_advanced_3"				"Деякі предмети можна розібрати на складові частини: для цього натисніть правою кнопкою миші предмет в інвентарі та виберіть «Розібрати». З отриманих предметів можна скласти нові!"
		"dota_tip_advanced_4"				"Щоби давати окремі накази різними істотам, їх слід розділити на підконтрольні групи. Для цього виділіть потрібних істот і, утримуючи Ctrl, натисніть цифрову клавішу. Щоби вибрати підконтрольну групу, натисніть призначену їй цифру."
		"dota_tip_advanced_5"				"Якщо загибель неминуча, натисніть гарячу клавішу «Швидка купівля», щоби витратити золото і не змарнувати його!"
		"dota_tip_advanced_6"				"Зміна основної характеристики Черевиків наснаги (Power Treads) на інтелект додасть вам трохи мани."
		"dota_tip_advanced_7"				"Нарукавник Мордіґіана (Armlet of Mordiggian) має активний ефект «Нечиста сила», який тимчасово збільшує здоров’я героя. Додаткове здоров’я зникає після вимкнення ефекту. Герой не може загинути і залишиться мінімум із 1 одиницею здоров’я."
		"dota_tip_advanced_8"				"Ефект зменшення броні від Спустошувача (Desolator) спрацює навіть на першу атаку по цілі."
		"dota_tip_advanced_9"				"Активація Різака Манти (Manta Style) знімає деякі позитивні та негативні ефекти і дозволяє ухилитися від вже випущених у вас снарядів."
		"dota_tip_advanced_10"				"Після викупу до тривалості наступного відродження додається 25 секунд."
		"dota_tip_advanced_11"				"Сир і Уламок відновлення (Refresher Shard) можна продати за 500 золота."
		"dota_tip_advanced_17"				"Якщо ви знаходитесь у межах дії кількох аур з однаковим ефектом, ви отримаєте бонус лише від найсильнішої з них."
		"dota_tip_advanced_18"				"Якщо загибель неминуча, спробуйте зайти в табір нейтральних кріпів або лігво Рошана, щоби вони вбили вас замість ворога. Таким чином супротивник не отримає золота та досвіду за вашу смерть."
		"dota_tip_advanced_19"				"Казарми мечників відновлюють 5 очок здоров’я щосекунди. Казарми магів не відновлюються."
